code,chushicaifu,gongzuonengli,jiankangtouzi,caichanbaoxian,jiedaijihui,touzi,fengxiantouzi,fumianchongji,maicaipiao,shengbing,shiye,biao
11qpbunz,0,0,0,0,0,0,0,2,0,3,0,1
n26lbqa5,0,0,0,0,0,0,0,3,0,3,0,1
wak4ycex,0,1,0,0,0,0,0,3,0,3,0,1
dz4i0852,0,0,0,0,0,0,0,1,0,3,0,1
qrj0woux,0,0,0,0,0,0,0,1,0,3,0,1
6l4hmpzv,0,1,0,0,0,0,0,1,0,3,0,1
m0rj3925,0,0,0,0,0,0,0,0,0,3,0,1
t30mf55p,0,1,0,0,0,0,0,1,0,3,0,1
g84r969y,0,1,0,0,0,0,0,2,0,3,0,1
biqw1l36,0,0,0,0,0,0,0,0,0,3,0,1
0ff2742h,0,1,0,0,0,0,0,0,0,3,0,1
vedi2q2d,0,1,0,0,0,0,0,3,0,3,0,1
szjrd90v,0,1,0,0,0,0,0,2,0,3,0,1
dnwj15ee,0,0,0,0,0,0,0,1,0,2,0,1
d39a3neo,0,0,0,0,0,0,0,2,0,2,0,1
cclaxe7w,0,1,0,0,0,0,0,0,0,3,0,1
t7uhl32a,0,1,0,0,0,0,0,3,0,2,0,1
hogk0jl9,0,1,0,0,0,0,0,0,0,3,0,1
sqajrww1,0,0,0,0,0,0,0,0,0,2,0,1
lrqw3xla,0,1,0,0,0,0,0,0,0,3,0,1
kd4ugm89,0,1,0,0,0,0,0,1,0,3,0,1
p1dzzr2s,0,1,0,0,0,0,0,1,0,3,0,1
b0je0mwr,0,0,0,0,0,0,0,1,0,2,0,1
3zjizqly,0,0,0,0,0,0,0,3,0,2,0,1
9i73mzxn,0,0,0,0,0,0,0,1,0,2,0,1
410e0tw2,0,1,0,0,0,0,0,2,0,2,0,1
3vpcaply,0,0,0,0,0,0,0,1,0,2,0,1
otvnb5te,0,0,0,0,0,0,0,3,0,2,0,1
1qzlh5mu,0,0,0,0,0,0,0,3,0,1,0,1
tzn75yhk,0,1,0,0,0,0,0,1,0,3,0,1
nxlvuopa,0,0,0,0,0,0,0,0,0,2,0,1
unioj1gy,0,1,0,0,0,0,0,2,0,2,0,1
zuqpu1wo,0,0,0,0,0,0,0,2,0,1,0,1
iuy2mq1n,0,1,0,0,0,0,0,3,0,2,0,1
ag8yu9h7,0,1,0,0,0,0,0,2,0,2,0,1
g004gng8,0,1,0,0,0,0,0,2,0,2,0,1
c3206739,0,1,0,0,0,0,0,1,0,2,0,1
xluifzfl,0,1,0,0,0,0,0,2,0,2,0,1
z873r4vo,0,0,0,0,0,0,0,1,0,2,0,1
edydbr11,0,1,0,0,0,0,0,3,0,2,0,1
xcoc0hf4,0,0,0,0,0,0,0,1,0,1,0,1
42bbeqpm,0,2,0,1,0,1,1,0,0,3,0,1
kn4swjew,0,0,0,0,0,0,0,3,0,1,0,1
7u0jmbd5,0,0,0,0,0,0,0,2,0,1,0,1
9cikjguk,0,1,0,0,0,0,0,3,0,1,0,1
8g2iaxf0,0,0,0,0,0,0,0,1,0,1,0,1
j1e40ha7,0,0,0,0,0,0,0,1,0,2,0,1
ttjy4cwz,0,0,0,0,0,0,0,2,0,2,0,1
tgyt0okw,0,1,0,0,0,0,0,2,0,1,0,1
3rqszw2y,0,1,0,0,0,0,0,3,0,2,0,1
8yww2xfk,0,1,0,0,0,0,0,3,0,2,0,1
o6m81rh2,0,1,0,0,0,0,0,2,0,1,0,1
9jhn3kb4,0,1,0,0,0,0,0,0,0,3,0,1
x6n7t8hs,0,1,0,0,0,0,0,3,0,1,0,1
3mrhtpe3,0,0,0,0,0,0,0,1,0,2,0,1
qyyocas4,0,0,0,0,0,0,0,1,0,1,0,1
w3icbwph,0,1,0,0,0,0,0,3,0,1,0,1
hdp578ga,0,1,0,0,0,0,0,2,0,2,0,1
1pxzy631,0,0,0,0,0,0,0,0,0,2,0,1
drsd3gfr,0,1,0,0,0,0,0,3,0,1,0,1
8cyh64c7,0,0,0,0,0,0,0,1,0,1,0,1
odyzp5vx,0,0,0,0,0,0,0,0,0,2,0,1
8886ungo,0,1,0,0,0,0,0,3,0,1,0,1
lxt7o6sm,0,2,1,1,1,1,1,0,0,3,0,1
v6of81mc,0,0,0,0,0,0,0,1,0,1,0,1
ot3r1xw1,0,0,0,0,0,0,0,0,0,2,0,1
gn1bxo37,0,2,1,1,0,0,0,0,0,3,0,1
nil7z8nt,0,1,0,0,0,0,0,3,0,1,0,1
8uqq7nj7,0,2,1,1,0,1,1,0,0,3,0,1
8nmazok9,0,1,0,0,0,0,0,3,0,1,0,1
ds12f176,0,2,0,1,1,1,1,0,0,2,0,1
jicuopmz,0,0,0,0,0,0,0,2,0,1,0,1
0cpchq58,0,0,0,0,0,0,0,1,0,1,0,1
n1yognqv,0,1,0,0,0,0,0,0,0,2,0,1
y0q2jnsm,0,0,0,0,0,0,0,1,0,1,0,1
uvakwdur,0,0,0,0,0,0,0,1,0,1,0,1
mvvdc51v,0,0,0,0,0,0,0,0,0,2,0,1
awof1evv,0,1,0,0,0,0,0,1,0,2,0,1
0xxgoaz8,0,1,0,0,0,0,0,1,0,2,0,1
przvq4kq,0,1,0,0,0,0,0,2,0,2,0,1
0k6r6bgl,0,1,0,0,0,0,0,2,0,1,0,1
7vz4x7mn,0,1,0,0,0,0,0,1,0,1,0,1
0h6a0xq8,0,0,0,0,0,0,0,2,0,1,0,1
k93onftx,0,2,1,1,1,1,1,0,0,3,0,1
kudii6oy,0,2,0,1,1,1,1,0,0,2,0,1
5kkr5060,0,0,0,0,0,0,0,0,0,1,0,1
9pofl3q7,0,0,0,0,0,0,0,0,0,1,0,1
cn2055xk,0,0,0,0,0,0,0,1,0,1,0,1
t9m6tgki,0,1,0,0,0,0,0,2,0,1,0,1
037gym6i,0,2,1,1,1,1,1,0,0,2,0,1
i6lqx8ts,0,0,0,0,0,0,0,2,0,0,0,1
yl8zd4ee,0,0,0,0,0,0,0,1,0,1,0,1
nxc2bm09,0,0,0,0,0,0,0,1,0,1,0,1
d5t88opp,0,1,0,0,0,0,0,0,0,1,0,1
hq6lddx8,0,1,0,0,0,0,0,0,0,2,0,1
sca5toky,0,2,1,1,1,1,1,0,0,3,0,1
4uuf90e3,0,0,0,0,0,0,0,1,0,1,0,1
2ygzmnz9,0,1,0,0,0,0,0,1,0,2,0,1
x6cv314a,0,1,0,0,0,0,0,1,0,2,0,1
ody1m92z,0,0,0,0,0,0,0,1,0,1,0,1
3di9vioo,0,1,0,0,0,0,0,2,0,1,0,1
bi13mblu,0,2,1,1,1,1,1,0,0,3,0,1
6ac48e1h,0,1,0,0,0,0,0,1,0,1,0,1
6gir6eim,0,1,0,0,0,0,0,1,0,2,0,1
s9ck61wv,0,1,0,0,0,0,0,0,0,1,0,1
5ts6tpzo,0,1,0,0,0,0,0,0,0,1,0,1
i3wgnab9,0,0,0,0,0,0,0,0,0,1,0,1
e4uy9bw2,0,0,0,0,0,0,0,0,0,1,0,1
c1h7bw1a,0,2,1,1,1,1,1,0,0,2,0,1
0nu0s221,0,0,0,0,0,0,0,1,0,1,0,1
1bfi45o2,0,1,0,0,0,0,0,0,0,1,0,1
1yc3rs1q,0,2,1,0,0,0,0,3,0,0,0,1
j4rjykeb,0,1,0,0,0,0,0,1,0,1,0,1
v26mzb6c,0,1,0,0,0,0,0,0,0,1,0,1
hf30noug,0,2,0,1,1,1,1,0,0,2,0,1
7dv78fh8,0,0,0,0,0,0,0,1,0,1,0,1
