participant.code,subsession.round_number,cash_before_work,cash_before_work_type,work_type,work_profit,work_profit_type,cash_before_health_invest,cash_before_health_invest_type,health_invest_type,health_invest_profit,health_invest_profit_type,cash_before_repay,cash_before_repay_type,repay_type,repay_profit,repay_profit_x,repay_profit_type,cash_before_loan,cash_before_loan_type,loan_type,loan_profit,loan_profit_type,cash_before_invest,cash_before_invest_type,invest_type,invest_profit,invest_profit_type,cash_before_venture,cash_before_venture_type,venture_type,venture_profit,venture_profit_type,cash_before_insurance,cash_before_insurance_type,insurance_type,insurance_profit,insurance_profit_type,cash_before_lottery,cash_before_lottery_type,player.lucky_invest,lottery_type,player.lucky,lottery_profit,lottery_profit_type,cash_before_impact,cash_before_impact_type,impact_type,player.crash_type,impact_profit,impact_profit_type,cash_before_health_impact,cash_before_health_impact_type,health_impact_type,player.health_type,health_impact_profit,health_impact_profit_type,cash_before_preference,cash_before_preference_type,preference_type,preference_profit,preference_profit_type,cash_before_patience,cash_before_patience_type,patience_type,patience_profit,patience_profit_type,player.loss,player.cash,player.total_loans,total,player.treatments,treat5
g7uoijja,1,0,0,0,-3,0,-3,0,0,0,1,-3,0,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,1,1,0,-1,0,-4,0,0,无,0,1,-4,0,1,小,-15,0,-19,0,2,4,2,-15,0,0,5,2,0,-10,0,0,1,0
8g2iaxf0,1,0,0,0,-15,0,-15,0,0,0,1,-15,0,0,0,0,1,-15,0,0,0,1,-15,0,0,0,1,-15,0,0,0,1,-15,0,0,0,1,-15,0,1,1,0,-1,0,-16,0,1,小,-5,0,-21,0,1,小,-15,0,-36,0,3,3.5,2,-32.5,0,1,0,1,0,-32.5,0,0,1,0
1yemb6kz,1,0,0,0,9,2,9,1,1,-5,0,4,1,0,0,0,1,4,1,1,2.4,2,6.4,1,1,0.12,2,6.52,1,1,1,2,7.52,1,1,-0.752,0,6.768,1,1,1,0,-1,0,5.77,1,0,无,0,1,5.77,1,1,小,-7,0,-1.23,0,2,12,2,10.77,1,1,0,1,0,10.77,2.4,0,1,0
x6cv314a,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,小,0,1,0,0,2,中,-30,0,-30,0,1,4.5,2,-25.5,0,0,5,2,0,-20.5,0,0,1,0
26ovv9nz,1,0,0,0,9,2,9,1,1,-5,0,4,1,0,0,0,1,4,1,1,0.08,2,4.08,1,1,0.3,2,4.38,1,1,3,2,7.38,1,1,-0.738,0,6.642,1,1,1,0,-1,0,5.64,1,0,无,0,1,5.64,1,1,小,-7,0,-1.36,0,2,12,2,10.64,1,1,0,1,0,10.64,0.08,0,1,0
qrj0woux,1,0,0,0,-21,0,-21,0,0,0,1,-21,0,0,0,0,1,-21,0,0,0,1,-21,0,0,0,1,-21,0,0,0,1,-21,0,0,0,1,-21,0,1,1,0,-1,0,-22,0,1,小,-5,0,-27,0,3,大,-50,0,-77,0,3,12.5,2,-64.5,0,1,0,1,0,-64.5,0,0,1,0
edydbr11,1,0,0,0,-6,0,-6,0,0,0,1,-6,0,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,0,0,1,-6,0,3,大,-15,0,-21,0,2,中,-30,0,-51,0,5,16,2,-35,0,1,0,1,0,-35,0,0,1,0
i3ugntg2,1,0,0,0,-12,0,-12,0,0,0,1,-12,0,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,1,1,0,-1,0,-13,0,0,无,0,1,-13,0,1,小,-15,0,-28,0,1,9.5,2,-18.5,0,0,5,2,0,-13.5,0,0,1,0
nil7z8nt,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-1,0,-1,0,3,大,-15,0,-16,0,1,小,-15,0,-31,0,1,4.5,2,-26.5,0,1,0,1,0,-26.5,0,0,1,0
i3wgnab9,1,0,0,0,-12,0,-12,0,0,0,1,-12,0,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,1,1,0,-1,0,-13,0,0,无,0,1,-13,0,1,小,-15,0,-28,0,1,4.5,2,-23.5,0,0,5,2,0,-18.5,0,0,1,0
7rmwik5s,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-1,0,-1,0,0,无,0,1,-1,0,0,无,0,1,-1,0,4,15,2,14,1,0,5,2,0,19,0,0,1,0
mzj836b0,1,0,0,0,-3,0,-3,0,0,0,1,-3,0,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,1,1,0,-1,0,-4,0,0,无,0,1,-4,0,1,小,-15,0,-19,0,6,20,2,1,1,1,0,1,0,1,0,0,1,0
1gblxsq7,1,0,0,0,-6,0,-6,0,0,0,1,-6,0,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,0,0,1,-6,0,1,小,-5,0,-11,0,0,无,0,1,-11,0,6,0,1,-11,0,1,0,1,0,-11,0,0,1,0
t9m6tgki,1,0,0,0,-6,0,-6,0,0,0,1,-6,0,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,0,0,1,-6,0,1,1,0,-1,0,-7,0,2,中,-10,0,-17,0,1,小,-15,0,-32,0,1,9.5,2,-22.5,0,1,0,1,0,-22.5,0,0,1,0
4hjk8ew7,1,0,0,0,-3,0,-3,0,0,0,1,-3,0,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,1,1,0,-1,0,-4,0,0,无,0,1,-4,0,1,小,-15,0,-19,0,1,4.5,2,-14.5,0,1,0,1,0,-14.5,0,0,1,0
luq8s82b,1,0,0,0,6,2,6,1,1,-5,0,1,1,0,0,0,1,1,1,1,0.2,2,1.2,1,1,-0.06,0,1.14,1,1,0.57,2,1.71,1,1,-0.171,0,1.539,1,0.2,1,0,-0.2,0,1.34,1,0,无,0,1,1.34,1,1,小,-7,0,-5.66,0,1,4.5,2,-1.16,0,0,5,2,0,3.84,0.2,0,1,0
96b2y1fq,1,0,0,0,-3,0,-3,0,0,0,1,-3,0,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,0,0,1,-3,0,1,小,-5,0,-8,0,1,小,-15,0,-23,0,3,12.5,2,-10.5,0,1,0,1,0,-10.5,0,0,1,0
iuy2mq1n,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-1,0,-1,0,3,大,-15,0,-16,0,2,中,-30,0,-46,0,2,4,2,-42,0,0,5,2,0,-37,0,0,1,0
zca7zxyf,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-1,0,-1,0,1,小,-5,0,-6,0,1,小,-15,0,-21,0,2,4,2,-17,0,1,0,1,0,-17,0,0,1,0
jj2wn94h,1,0,0,0,6,2,6,1,1,-5,0,1,1,0,0,0,1,1,1,1,0.6,2,1.6,1,1,0.15,2,1.75,1,1,-1,0,0.75,1,1,-0.075,0,0.675,1,0.5,1,0,-0.5,0,0.18,1,0,无,0,1,0.18,1,0,无,0,1,0.18,1,1,9.5,2,9.68,1,0,5,2,0,14.68,0.6,0,1,0
68araqh7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-1,0,-1,0,0,无,0,1,-1,0,1,小,-15,0,-16,0,2,12,2,-4,0,1,0,1,0,-4,0,0,1,0
zzpnlqei,1,0,0,0,-12,0,-12,0,0,0,1,-12,0,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,0,0,1,-12,0,1,小,-5,0,-17,0,1,小,-15,0,-32,0,6,20,2,-12,0,0,5,2,0,-7,0,0,1,0
v5p7lv20,1,0,0,0,15,2,15,1,1,-5,0,10,1,0,0,0,1,10,1,1,6,2,16,1,1,-0.8,0,15.2,1,1,5,2,20.2,1,1,-2.02,0,18.18,1,1,1,0,-1,0,17.18,1,0,无,0,1,17.18,1,1,小,-7,0,10.18,1,2,12,2,22.18,1,0,5,2,0,27.18,6,0,1,0
11qpbunz,1,0,0,0,-12,0,-12,0,0,0,1,-12,0,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,1,1,0,-1,0,-13,0,2,中,-10,0,-23,0,3,大,-50,0,-73,0,6,0,1,-73,0,1,0,1,0,-73,0,0,1,0
yaiqosbx,1,0,0,0,12,2,12,1,1,-5,0,7,1,0,0,0,1,7,1,0,0,1,7,1,1,0.45,2,7.45,1,0,0,1,7.45,1,1,-0.745,0,6.705,1,0.05,1,0,-0.05,0,6.66,1,0,无,0,1,6.66,1,1,小,-7,0,-0.34,0,3,3.5,2,3.16,1,1,0,1,0,3.16,0,0,1,0
xp91b3qj,1,0,0,0,12,2,12,1,1,-5,0,7,1,0,0,0,1,7,1,1,2.1,2,9.1,1,1,0.6,2,9.7,1,1,-2,0,7.7,1,1,-0.77,0,6.93,1,2,1,0,-2,0,4.93,1,0,无,0,1,4.93,1,1,小,-7,0,-2.07,0,1,9.5,2,7.43,1,1,0,1,0,7.43,2.1,0,1,0
9t4dpmrw,1,0,0,0,3,2,3,1,0,0,1,3,1,0,0,0,1,3,1,0,0,1,3,1,1,0.45,2,3.45,1,1,-3.45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,小,0,1,0,0,0,无,0,1,0,0,6,20,2,20,1,0,5,2,0,25,0,0,1,0
i6lqx8ts,1,0,0,0,-15,0,-15,0,0,0,1,-15,0,0,0,0,1,-15,0,0,0,1,-15,0,0,0,1,-15,0,0,0,1,-15,0,0,0,1,-15,0,1,1,0,-1,0,-16,0,2,中,-10,0,-26,0,0,无,0,1,-26,0,2,4,2,-22,0,1,0,1,0,-22,0,0,1,0
sqfmjhqp,1,0,0,0,-3,0,-3,0,0,0,1,-3,0,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,0,0,1,-3,0,1,1,0,-1,0,-4,0,1,小,-5,0,-9,0,0,无,0,1,-9,0,1,9.5,2,0.5,1,0,5,2,0,5.5,0,0,1,0
5kkr5060,1,0,0,0,-12,0,-12,0,0,0,1,-12,0,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,0,0,1,-12,0,1,1,0,-1,0,-13,0,0,无,0,1,-13,0,1,小,-15,0,-28,0,6,0,1,-28,0,0,5,2,0,-23,0,0,1,0
g7uoijja,2,-10,0,0,-30,0,-40,0,0,0,1,-40,0,0,0,0,1,-40,0,0,0,1,-40,0,0,0,1,-40,0,0,0,1,-40,0,0,0,1,-40,0,1,1,0,-1,0,-41,0,0,无,0,1,-41,0,1,小,-15,0,-56,0,3,10,2,-46,0,1,0,1,1,-46,0,0,1,0
8g2iaxf0,2,-32.5,0,0,-3,0,-35.5,0,0,0,1,-35.5,0,0,0,0,1,-35.5,0,0,0,1,-35.5,0,0,0,1,-35.5,0,0,0,1,-35.5,0,0,0,1,-35.5,0,0,0,0,0,1,-35.5,0,2,中,-10,0,-45.5,0,1,小,-15,0,-60.5,0,2,9.6,2,-50.9,0,0,11.8,2,0,-39.1,0,0,1,0
1yemb6kz,2,10.77,1,0,15,2,25.77,1,1,-5,0,20.77,1,1,-2.64,-2.64,0,18.13,1,0,0,1,18.13,1,1,0.3,2,18.43,1,1,-2.5,0,15.93,1,1,-1.593,0,14.337,1,1,1,0,-1,0,13.34,1,0,无,0,1,13.34,1,2,中,-21,0,-7.66,0,4,2.4,2,-5.26,0,1,7,2,0,1.74,0,2.4,1,0
